id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths
1,Rental unit in Brooklyn · ★5.0 · 1 bedroom,7130382,Walter,Brooklyn,Clinton Hill,40.68371,-73.96461,Private room,55,30,3,12/20/2015,0.03,1,0,0,No License,5,1,1,Not specified
2,Rental unit in New York · ★4.67 · 2 bedrooms · 1 bed · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76661,-73.9881,Entire home/apt,144,30,9,5/1/2023,0.24,139,364,2,No License,4.67,2,1,1
3,Rental unit in New York · ★4.17 · 1 bedroom · 2 beds · 1 bath,528871354,Joshua,Manhattan,Chelsea,40.75076357,-73.99460515,Entire home/apt,187,2,6,12/18/2023,1.67,1,343,6,Exempt,4.17,1,2,1
4,Rental unit in New York · ★4.64 · 1 bedroom · 1 private bath,19902271,John And Catherine,Manhattan,Washington Heights,40.8356,-73.9425,Private room,120,30,156,9/17/2023,1.38,2,363,12,No License,4.64,1,1,1
5,Condo in New York · ★4.91 · Studio · 1 bed · 1 bath,61391963,Stay With Vibe,Manhattan,Murray Hill,40.75112,-73.9786,Entire home/apt,85,30,11,12/3/2023,0.24,133,335,3,No License,4.91,Studio,1,1
6,Rental unit in New York · ★5.0 · 1 bedroom · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.75995,-73.99296,Entire home/apt,115,30,5,7/29/2023,0.16,139,276,2,No License,5,1,1,1
7,Rental unit in New York · ★4.33 · Studio · 1 bed · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76737,-73.98787,Entire home/apt,105,30,3,8/31/2022,0.1,139,364,0,No License,4.33,Studio,1,1
8,Rental unit in New York · ★4.50 · 2 bedrooms · 2 beds · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76519,-73.99013,Entire home/apt,130,30,10,5/30/2023,0.26,139,295,2,No License,4.5,2,2,1
9,Rental unit in Brooklyn · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,2526182,Margaux,Brooklyn,Williamsburg,40.71153,-73.95312,Private room,90,30,19,10/1/2023,0.24,2,5,2,No License,4.79,1,1,1
10,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1 bath,14251313,Kristin,Brooklyn,Sunset Park,40.65891327,-73.98958973,Entire home/apt,292,30,12,10/19/2023,1.71,1,365,12,No License,4.67,1,1,1
11,Rental unit in Queens · 1 bedroom · 2 beds · 1 shared bath,84109314,Mary,Queens,Astoria,40.76068,-73.90926,Private room,120,30,1,8/21/2023,0.22,1,365,1,No License,No rating,1,2,1
12,Rental unit in Brooklyn · ★4.71 · Studio · 1 bed · 1 bath,20604809,Houman,Brooklyn,Williamsburg,40.7132,-73.96176,Entire home/apt,160,30,49,10/8/2023,0.67,1,0,7,No License,4.71,Studio,1,1
13,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,21662972,Youning,Manhattan,Financial District,40.70999354,-74.00499963,Entire home/apt,100,30,1,8/30/2023,0.23,1,38,1,No License,No rating,1,1,1
14,Rental unit in Queens · 1 bedroom · 1 bed · 1 bath,38713773,Fabrizio,Queens,Sunnyside,40.74347,-73.91396,Private room,70,30,1,11/3/2019,0.02,1,0,0,No License,No rating,1,1,1
15,Rental unit in New York · ★3.20 · 2 bedrooms · 3 beds · 1 bath,187148732,Yehudah,Manhattan,Washington Heights,40.83969,-73.93861,Entire home/apt,164,30,5,4/13/2019,0.08,1,0,0,No License,3.2,2,3,1
16,Serviced apartment in New York City · Studio · 2 beds · 1 bath,220229838,Chamber Hotel,Manhattan,Midtown,40.76176,-73.97659,Hotel room,1000,30,1,7/2/2019,0.02,10,363,0,Exempt,No rating,Studio,2,1
17,Home in East Elmhurst  · 1 bedroom · 1 bed · 1 shared bath,171107511,Paola,Queens,East Elmhurst,40.76529,-73.86361,Private room,45,30,1,10/7/2018,0.02,1,0,0,No License,No rating,1,1,1
18,Condo in New York · 2 bedrooms · 2 beds · 2 baths,6674394,Eri,Manhattan,Upper West Side,40.79283,-73.9719,Entire home/apt,425,180,1,6/25/2019,0.02,1,358,0,No License,No rating,2,2,2
19,Serviced apartment in New York · ★4.80 · 1 bedroom · 1 bed · 1 private bath,241889662,Incentra Village Guest House,Manhattan,West Village,40.73888,-74.00343,Private room,196,30,5,7/26/2022,0.1,12,0,0,No License,4.8,1,1,1
20,Rental unit in Brooklyn · ★4.65 · 1 bedroom · 1 bed · 1 bath,260475429,Zahira,Brooklyn,Kensington,40.64304,-73.97964,Entire home/apt,120,30,26,3/15/2020,0.47,2,0,0,No License,4.65,1,1,1
21,Rental unit in Brooklyn · 1 bedroom · 2 beds · 1 bath,234383668,Federica,Brooklyn,Williamsburg,40.71336,-73.95495,Entire home/apt,100,30,1,8/10/2019,0.02,1,0,0,No License,No rating,1,2,1
22,Rental unit in Brooklyn · ★5.0 · 2 bedrooms · 2 beds · 1 bath,3899139,David,Brooklyn,Bushwick,40.70477,-73.92671,Entire home/apt,220,30,12,1/5/2020,0.21,1,0,0,No License,5,2,2,1
23,Rental unit in Brooklyn · ★4.75 · 1 bedroom · 1 bed · 1 bath,188207570,Claire,Brooklyn,Red Hook,40.67673,-74.00194,Entire home/apt,84,30,4,12/12/2020,0.08,1,0,0,No License,4.75,1,1,1
24,Rental unit in New York · 1 bedroom · 1 bed · 1 private bath,7258900,Jill,Manhattan,Tribeca,40.71446,-74.00826,Private room,200,30,1,6/14/2019,0.02,1,0,0,No License,No rating,1,1,1
